Date,Max Hourly Temp (C),Min Hourly Temp (C),Max Wind Speed (m/s),Total Precip (mm)
2016-04-09,4.444444444444445,-3.8888888888888893,10.72896,0.00
2016-04-12,11.666666666666668,-2.2222222222222223,5.81152,0.00
2016-04-13,16.11111111111111,0.0,6.7056,0.00
2016-04-14,20.555555555555557,2.2222222222222223,7.15264,0.00
2016-04-15,25.0,5.555555555555555,6.7056,0.00
2016-04-16,26.666666666666668,9.444444444444445,5.81152,0.00
2016-04-17,27.77777777777778,10.555555555555555,4.91744,0.00
2016-04-18,28.333333333333336,10.555555555555555,5.81152,0.00
2016-04-19,26.666666666666668,12.222222222222223,6.7056,0.00
2016-04-25,28.333333333333336,15.555555555555557,10.28192,0.00
2016-04-26,26.11111111111111,10.555555555555555,9.83488,0.03
2016-05-03,18.333333333333336,5.555555555555555,5.81152,0.00
2016-05-05,19.444444444444446,4.444444444444445,8.9408,0.00
2016-05-06,26.11111111111111,5.555555555555555,6.7056,0.00
2016-05-14,12.222222222222223,5.0,10.72896,0.00
2016-05-15,14.444444444444445,3.8888888888888893,9.83488,0.00
2016-05-16,18.88888888888889,6.111111111111112,8.04672,0.03
2016-05-17,14.444444444444445,9.444444444444445,6.7056,0.05
2016-05-18,20.555555555555557,5.555555555555555,5.81152,0.00
2016-05-19,22.77777777777778,8.88888888888889,4.4704,0.00
2016-05-20,20.0,11.666666666666668,7.59968,0.15
2016-05-21,25.0,11.666666666666668,7.59968,0.00
2016-05-22,29.444444444444446,10.0,6.25856,0.00
2016-05-23,28.333333333333336,11.11111111111111,7.15264,0.00
2016-05-24,30.555555555555557,13.333333333333334,10.72896,0.00
2016-05-25,30.555555555555557,16.666666666666668,11.176,0.00
2016-05-27,27.77777777777778,18.333333333333336,10.72896,0.45
2016-05-28,27.77777777777778,20.0,10.28192,0.00
2016-05-31,30.555555555555557,18.333333333333336,7.59968,0.07
2016-06-02,28.333333333333336,16.666666666666668,4.91744,0.00
2016-06-03,28.88888888888889,15.0,4.02336,0.00
2016-06-06,30.555555555555557,16.11111111111111,11.62304,0.00
2016-06-07,23.88888888888889,13.333333333333334,9.83488,0.00
2016-06-08,25.0,10.0,3.57632,0.00
2016-06-09,30.555555555555557,14.444444444444445,7.15264,0.00
2016-06-10,34.44444444444444,20.555555555555557,7.59968,0.00
2016-06-11,34.44444444444444,21.11111111111111,8.04672,0.00
