Date,Max Hourly Temp (C),Min Hourly Temp (C),Max Wind Speed (m/s),Daily Precip (mm)
4/17/2015,24.444444444444443,8.88888888888889,4.02336,0.0
4/18/2015,26.666666666666668,11.666666666666666,7.59968,0.0
4/19/2015,16.11111111111111,12.777777777777779,7.15264,10.899999999999999
4/20/2015,14.444444444444445,5.555555555555555,12.96416,0.0
4/21/2015,16.666666666666668,3.3333333333333335,14.75232,0.0
4/22/2015,12.222222222222221,1.1111111111111112,13.85824,2.5
4/23/2015,14.444444444444445,-1.1111111111111112,9.38784,0.0
4/24/2015,17.22222222222222,1.1111111111111112,7.59968,0.0
4/25/2015,11.11111111111111,7.222222222222222,10.28192,15.100000000000001
4/26/2015,15.0,2.2222222222222223,9.38784,0.0
4/27/2015,16.666666666666668,3.3333333333333335,9.38784,0.0
4/28/2015,18.88888888888889,2.7777777777777777,6.25856,0.0
4/29/2015,21.11111111111111,5.555555555555555,8.04672,0.0
4/30/2015,14.444444444444445,2.2222222222222223,9.38784,0.8
5/1/2015,21.11111111111111,1.6666666666666667,4.02336,0.0
5/2/2015,25.0,10.555555555555555,7.15264,0.0
5/3/2015,28.88888888888889,15.0,11.176,0.0
5/4/2015,27.77777777777778,15.555555555555555,8.04672,1.7
5/5/2015,30.555555555555557,16.11111111111111,8.04672,0.0
5/6/2015,30.555555555555557,16.11111111111111,7.59968,0.0
5/7/2015,30.555555555555557,15.0,10.72896,0.0
5/8/2015,28.88888888888889,18.333333333333332,8.9408,7.9
5/9/2015,24.444444444444443,17.22222222222222,4.4704,0.30000000000000016
5/10/2015,26.11111111111111,17.77777777777778,7.59968,10.299999999999999
5/11/2015,22.77777777777778,11.11111111111111,12.51712,15.100000000000001
5/12/2015,17.22222222222222,7.777777777777778,10.72896,0.0
5/13/2015,18.333333333333332,6.666666666666667,6.25856,0.0
5/14/2015,21.666666666666668,8.88888888888889,7.59968,0.0
5/15/2015,28.333333333333332,16.11111111111111,10.28192,16.400000000000002
5/16/2015,26.11111111111111,18.88888888888889,7.59968,0.4999999999999999
5/17/2015,27.77777777777778,19.444444444444443,12.96416,0.0
5/18/2015,28.88888888888889,11.11111111111111,9.83488,0.0
5/19/2015,17.77777777777778,6.666666666666667,7.59968,0.0
5/20/2015,10.0,7.222222222222222,6.25856,2.2
5/21/2015,18.88888888888889,7.222222222222222,6.7056,0.19999999999999998
5/22/2015,25.555555555555557,8.88888888888889,5.81152,0.0
5/23/2015,27.22222222222222,14.444444444444445,7.59968,0.0
5/24/2015,30.555555555555557,17.22222222222222,11.62304,0.0
5/25/2015,29.444444444444443,20.0,16.54048,0.0
